userName,content,score
Bemz Dwee,"Lebih ribet aplikasi yang sekarang gak langsung keluar kode bayar, pake daftar online segala, mau bayar aja susah, pantas banyak yg gak bayar pajak kendaraan.",1
Kusmo Be,Aplikasi apaan ini Setelah di update data kendaraan jadi berubah.,1
Nick Moningka,Tolong buat aplikasi yang menguntungkan masyarakat. Mau bayar pajak susah sekali sdh dapat kode bayar serta mau bayar lwt m Bangking nomor kode salah. Payah luar binasa,1
Bayu Alit,"Tolong developer, kase bagus akang ni aplikasi. Mo cek pajak p susah. Nda mo jadi. Pas update bgni so nda jadi2. Bkg susah jo",1
Steven Lengkey,"Mudah""an bisa aplikasi di iphone, dan menjadi lebih ribet mo cek pajak..",1
Reymond Pangau,"Tidak akurat mohon di diperiksa lagi aplikasi ini. Pajak sudah terbayar, tapi di cek di aplikasi belum terbayar",1
Marcelino Lumi,Sistem sering eror sudah keluar notice pajak di aplikasi msh tertulis blm bayar,1
Ryan Lu,"Kodenya kok gak bisa di pakai, tambah ribut pake ni aplikasi",1
Eky Eky,Pajak sdh dibayar.. tapi aplikasinya nda terupdate...malah ada denda..,1
MJ CHANNEL,"Tdk dpt di gunakan, selalu kembali atau keluar",1
Rafel Mailangkay,Lebih sulit mending yg lama dri payg yg baru ini,1
Fai Elias,Update yg baru ini lebih mempersulit lebih enak yg dulu,1
Koko Prayaka,"Bayar nya ribet, tidak bisa pake tokped",1
frangky mongdong,Aplikasi tidak berguna. Buat aplikasi harus ada fungsi dan memberikan kemudahan. Sekarang zaman udah canggih dan tingkat mobile warga manado sudah cepat jadi kalo boleh buat system pembayaran online. Bukan buat aplikasi tidak berguna seperti ini.,1
Pengguna Google,"apk apa ini,gk sinkron sama real nya... malah lebih banyak ongkos nya,bahkan bertahap. daftar harus bayar,habis itu bayar lg d pihak sbgai petugas bank d tambah bikin plat. gk jelas",1
Jasmine Rahardja,"Aplikasinya gak di update / upgrade lagi. Mau bayar pajak cek nya dari sini, pas mau bayar nominal tagihannya berbeda.",1
Stevie Tumuju,Tolong di selidiki.... Di apk jumlah tertere untuk STNK Rp 100.000.tapi kenyataanya bayar Rp 125.000. TNKB di apk j7mlah tertere Rp 60.000.tapi bayar Rp70.000.apakah ini yg salah apk nya.atau ad unsur KORUPSI...klo ini kesalahan apk...tolong di perbaharui.tapi jika ini adlah tindak KORUPSI mohon di selidiki...TERIMAH KASIH...,1
