userName,content,score
Basten Lamaka,"Kenapa aplikasinya tidak boleh digunakan, setiap kali pengecekan data tidak keluar, sedangkan untuk pegawai samsat aplikasi berfungsi dengan baik. Ada apa ini??? Kenapa masyarakat tidak dapat mengunakan aplikasi ini, hanya pegawai dan orang tertentu saja bisa gunakan aplikasi ini.",1
Benny Koyong,Di intall kok ada itam bulat yg muncul...peway le ini aplikasi bgmna ndk tabuka,1
Vandelivde Runtunuwu,Error trus... Aplikasi tidak berguna,1
ANGEL MEE,TIDAK BISA DIGUNAKAN. APLIKASI RUSAK/GAGAL,1
Mohamad Aswar Mael,"Tolong aplikasinya di perbaiki lagi, soalnya mau cek pajak sdh tidak bisa, bagaimana mau bayar pajak klo gini",1
Acix Pakaya,Apk nya sering error,1
handoko wibowo,Apk sontoloyo,1
Jackzan Charles Muaja,Lebih cepat dan lancar.,5
Yofri Umar,Mencari informasi,5
3-Jul,data tak ada,1
Intan Mokoginta,Makin lama aplikasi tidak akurat.. pajak motor saya batas 31 agustus 2023. Sudah didenda 149ribu rupiah,1
Farmy Mangkey,Eror,1
Andrean Maleru,Seeeerr,4
Wahyu Santoso,Sering gagal cek PKB dan PNBP,1
Berthy R.O. Pesik,"Jadi makin rumit skrg ni apk, pdhal yg lalu2 lebih gampang pke ni apk",1
shay goeltom,gak muncul apa2. nyesal download,1
Hendra Dinar,"dulu sangat mudah menggunakan app ini,saat ini jadi ribet dan sulit,kadang typing gak bisa,bukan makin baik tapi malah jadi buruk setelah berubah tampilan",1
azis 29580,Aplikasi erorrr!!,1
Steyvi Rampengan,Keren 👍 sangat membantu,5
Violinda Navarro,Bagus skali,1
rsf,Bagus,1
christian bura,"Kok gak jadi aplikasinya,, lebih ke tidak berguna sih...",1
A_B_U Anak Buol U'o,Eror tidak di perbaiki,1
Rendy Mandak,Aplikasi tidak berguna.hanya buang buang waktu,1
Fandy Tumanken,"Gk bisa di akses ,gk muncul",1
Deddy Christian,Bagus deehh,5
Sri Wati,error terus,1
Efendi Tawaang,Aplikasi ini da bagus mau cek pajak da jadi jadi,1
Ipal Kobandaha,Nd bagus,1
Np Np,Nda bisa di gunakan,1
Cherent Pangaila (Keren),"Eror sudah diperbaiki, Mudah, dan Cepat 👍",4
Glivo Toxi,Mantap,5
Mr Kaka,Gak bisa dipakai aplikasi nya... Beda dengan yang dlu...,1
Irnawati Ente,"Apk sangat membantu tapi, salalu eror trus. Amper tiap hari ba cek slalu eror, mohon pihak developer kase bae tu apk.",1
Willy Sambuaga,"Makin kesini makin tidak jelas, buat apa dibikin ribet",1
Yadi Tampi,Nyesel donload ga ada gunanya,1
Hizkia Pangala,tidak bisa ketik huruf depan dan belakang. device oppo reno 4 android 11,1
Bobby Raupu,Sangat membantu masyarakat yg jauh dari kantor SAMSAT,5
Heru Pratama,Semakin tidak jelas arah apk nya,1
Alfritstekol541 “Jemmy tekol” Alfritstekol541,"Semua sudah paham, mantap.",5
Risdianto Polii,Semakin parah ni aplikasi,1
Marthen Pangala,"Tidak muncul data yg di butuhkan, perbaiki aplikasinya.",1
Fadli mamangkey,"Yang dulu gampang, malah sekarang dipersulit",1
eka ns,Kalo melakukan pembayaran dr bank lain gmn caranya ya?,2
ronaldo lengkong,nd bisa mo ketik,1
Frides Wanto,Sangat membantu,5
george best,eror gk bisa isi no platnya,1
Heri S,aplikasi tdk bs mmasukan data kendaraan..,1
Tito Sumitro,Sangat baik,5
Rizandy Ngongoloy,apk ka cobaan??? mo cek plat nomor saja nimbole,1
rivaldo makahinda,aplikasi tidak bisa di gunakan untuk memasukan no plat kendaraan.,1
Erick Patonaung,Ok,5
Bayu Aditya Laima,"Aplikasi akhir"" ini sering error,gak bisa untuk pengecekan pajak,mohon di perbaiki.tq",2
Rangga Boro,Mantap,5
Albert Sasindo,Yang lalu2 aplikasi ini sangat membantu tapi skrg knp tdk bisa di buka yaaa..?? Maaf ya saya kasih bintang 3..🙏,3
Rocky Roben,Lebih bagus versi yg lalu²,2
ifan lumape,Fake app,1
Christian Rondonuwu,"Aplikasinya kok errol sih,tolong di perbaiki secepatnya, lebih baik versi lama cepat dan simple, kalau ini malah lebih repot",4
Aldo Sisca,⭐️⭐️⭐️⭐️⭐️,5
Firmansyach Taufik,Skarang tdk bisa dibuka,3
Arie 'Nts,bagus,5
Kurniawan Prasetyo,"Sekarang udah ribet mau cek pajak gak muncul muncul, mau cek panduan gak muncul juga tulisan nya, tolong diperbaiki sistem nya yg jelas",1
Angga Anggara,Aplikasi error,1
Arjan Zigzag,Aplikasi nd jelas soe,1
Maikel Korompis,"Sangat membantu,,, dari mulai bayar di Bank sampai menerima notice pajak,, hanya memerlukan durasi 10 mnit,, 1 menit antrian bayar d BANK, 8 mnit antrian untuk mendapatkan Tanda Bukti Pelunasan Pajak,,",5
kalengkongan oddy,Cepat dan tepat,5
